number,word,hira,pos,prop1,sub_prop1,prop2,sub_prop2,prop3,sub_prop3,remark,meaning,cnt-word,cnt-word-hira,tmp
35,味,あじ,,名词,,,,,,,味道、趣味、滋味,1,1,"(味,あじ)"
36,アジア,あじあ,,名词,,,,,,,亚洲、亚细亚,1,1,"(アジア,あじあ)"
37,味わう,あじわう,,动词,动1,,,,,他,尝、玩味、体验,1,1,"(味わう,あじわう)"
38,預かる,あずかる,,动词,动1,,,,,他,收存、保管、担任、管理、保留,1,1,"(預かる,あずかる)"
39,預ける,あずける,,动词,动2,,,,,他,寄存、寄放、托、委托,1,1,"(預ける,あずける)"
40,汗,あせ,,名词,,,,,,,汗、汗水、渗出水分,1,1,"(汗,あせ)"
41,遊ぶ,あそぶ,,动词,动1,,,,,自,玩耍、闲置不用、逛逛、消遣,1,1,"(遊ぶ,あそぶ)"
42,与える,あたえる,,动词,动2,,,,,他,给予、授予、分配,1,1,"(与える,あたえる)"
43,暖かい,あたたかい,,形容词,形1,,,,,,暖和、温暖、富足、温和,1,1,"(暖かい,あたたかい)"
44,暖める,あたためる,,动词,动2,,,,,他,温、恢复、悄悄地据为己有,1,1,"(暖める,あたためる)"
45,頭,あたま,,名词,,,,,,,头、脑袋、头发、头部、首领、头脑,1,1,"(頭,あたま)"
46,新しい,あたらしい,,形容词,形1,,,,,,新、新鲜、新式,1,1,"(新しい,あたらしい)"
47,辺り,あたり,,名词,,,,,,,附近、周围、大约、上下,1,1,"(辺り,あたり)"
48,当り前,あたりまえ,,名词,,形容词,形2,,,,当然、自然、普通、正常,1,1,"(当り前,あたりまえ)"
49,当たる,あたる,,动词,动1,,,,,自,碰上、命中、合适、相当于、晒,1,1,"(当たる,あたる)"
50,あちこち,あちこち,,名词,,,,,,,这儿那儿、到处,1,1,"(あちこち,あちこち)"
51,あっ,あっ,,感叹词,,,,,,,啊呀、哎呀,1,1,"(あっ,あっ)"
52,厚い,あつい,,形容词,形1,,,,,,厚、深厚、优厚,1,1,"(厚い,あつい)"
53,暑い,あつい,,形容词,形1,,,,,,热,1,1,"(暑い,あつい)"
54,熱い,あつい,,形容词,形1,,,,,,热、烫、热衷、热心,1,1,"(熱い,あつい)"
55,扱う,あつかう,,动词,动1,,,,,他,待遇、处理、操纵、经营,1,1,"(扱う,あつかう)"
56,集まる,あつまる,,动词,动1,,,,,自,聚集、集中,1,1,"(集まる,あつまる)"
57,集める,あつめる,Ｌ11,动词,动2,,,,,他,召集、汇集、集中,1,1,"(集める,あつめる)"
58,当てる,あてる,,动词,动2,,,,,他,打、碰、撞、贴上、烤、晒、铺上、填上、猜,1,1,"(当てる,あてる)"
59,後,あと,,名词,,,,,,,后面、以后、之后,2,1,"(後,あと)"
60,アドバイス,あどばいす,,名词,,动词,动3,,,自他,劝告、提意见、建议,1,1,"(アドバイス,あどばいす)"
61,穴,あな,,名词,,,,,,,孔、窟窿、洞穴、矿井、缺点、亏空,1,1,"(穴,あな)"
62,アナウンサー,あなうんさー,,名词,,,,,,,广播员、播音员,1,1,"(アナウンサー,あなうんさー)"
63,兄,あに,Ｌ13-3,名词,,,,,,,哥哥、义兄、盟兄,1,1,"(兄,あに)"
64,アニメ,あにめ,,名词,,,,,,,动画片,1,1,"(アニメ,あにめ)"
65,姉,あね,,名词,,,,,,,姐姐、嫂子,1,1,"(姉,あね)"
66,アパート,あぱーと,,名词,,,,,,,公寓,1,1,"(アパート,あぱーと)"
67,浴びる,あびる,,动词,动2,,,,,他,浇、淋、照、晒、受、蒙,1,1,"(浴びる,あびる)"
68,危ない,あぶない,,形容词,形1,,,,,,危险、不安全、危笃、靠不住、令人担心,1,1,"(危ない,あぶない)"
69,油,あぶら,,名词,,,,,,,油、发油,1,1,"(油,あぶら)"
70,アフリカ,あふりか,,名词,,,,,,,非洲,1,1,"(アフリカ,あふりか)"
71,あふれる,あふれる,,动词,动2,,,,,自,溢出、充满,1,1,"(あふれる,あふれる)"
72,甘い,あまい,,形容词,形1,,,,,,甜、淡、甜蜜、姑息、藐视,1,1,"(甘い,あまい)"
73,あまり,あまり,,副词,,名词,,,,,不怎么、太、过分,1,1,"(あまり,あまり)"
74,余る,あまる,,动词,动1,,,,,自,剩下、过分、承担不了,1,1,"(余る,あまる)"
75,網,あみ,,名词,,,,,,,网、罗网,1,1,"(網,あみ)"
76,雨,あめ,五十音,名词,,,,,,,雨、下雨、雨天,1,1,"(雨,あめ)"
77,誤り,あやまり,,名词,,,,,,,错误,1,1,"(誤り,あやまり)"
78,謝る,あやまる,,动词,动1,,,,,他,谢罪、道歉、认输、敬谢不敏,1,1,"(謝る,あやまる)"
79,歩む,あゆむ,,动词,动1,,,,,自,行、走、前面、进展,1,1,"(歩む,あゆむ)"
80,洗う,あらう,,动词,动1,,,,,他,洗、调查、查明,1,1,"(洗う,あらう)"
81,争う,あらそう,,动词,动1,,,,,他,争夺、斗争、争论、竞争,1,1,"(争う,あらそう)"
82,改める,あらためる,,动词,动2,,,,,他,改变、修改、改正、查验,1,1,"(改める,あらためる)"
83,あらゆる,あらゆる,,连体词,,,,,,,所有、一切,1,1,"(あらゆる,あらゆる)"
84,現す,あらわす,,动词,动1,,,,,他,现、露、显露,1,1,"(現す,あらわす)"
85,表す,あらわす,,动词,动1,,,,,他,表现、表示、象征、代表、显示,1,1,"(表す,あらわす)"
86,現れる,あらわれる,,动词,动2,,,,,自,出现、出来、暴露,1,1,"(現れる,あらわれる)"
87,有難い,ありがたい,,形容词,形1,,,,,,难得、少有、值得感谢、值得庆幸,1,1,"(有難い,ありがたい)"
88,ある,ある,Ｌ13,动词,动1,,,,,自,有、存在、持有、具有、举行、发生,2,2,"(ある,ある)"
89,ある,ある,,连体词,,,,,,,某、有,2,2,"(ある,ある)"
90,或いは,あるいは,,连词,,副词,,,,,或者、有的、有时、也许、或许,1,1,"(或いは,あるいは)"
91,歩く,あるく,,动词,动1,,,,,自,走、步行、到处,1,1,"(歩く,あるく)"
92,アルバイト,あるばいと,,名词,,动词,动3,,,自,副业、工读、课余搞副业的人,1,1,"(アルバイト,あるばいと)"
93,アルバム,あるばむ,,名词,,,,,,,相片簿、纪念册,1,1,"(アルバム,あるばむ)"
94,あれ,あれ,,感叹词,,,,,,,呀、哎呀、哎呦,2,2,"(あれ,あれ)"
95,合わせる,あわせる,,动词,动2,,,,,他,合并、加在一起、混合、调合、对照,1,1,"(合わせる,あわせる)"
96,慌てる,あわてる,,动词,动2,,,,,自,惊慌、急急忙忙,1,1,"(慌てる,あわてる)"
97,アンケート,あんけーと,,名词,,,,,,,征询意见,1,1,"(アンケート,あんけーと)"
98,安心,あんしん,,名词,,动词,动3,,,自,放心、安心、无忧无虑,1,1,"(安心,あんしん)"
99,安全,あんぜん,,名词,,形容词,形2,,,,安全、保险、平安,1,1,"(安全,あんぜん)"
100,案内,あんない,,名词,,动词,动3,,,他,向导、传达、通知、邀请、了解,1,1,"(案内,あんない)"
101,位,い,,缀词(后),,,,,,,（顺位）位、（小数）位,1,1,"(位,い)"
102,胃,い,,名词,,,,,,,胃,1,1,"(胃,い)"
103,いい／よい,いい／よい,,形容词,形1,,,,,,良好、贵重、美丽,1,1,"(いい／よい,いい／よい)"
104,言い表す,いいあらわす,,动词,动1,,,,,他,表达、表现,1,1,"(言い表す,いいあらわす)"
105,いいえ,いいえ,五十音,感叹词,,,,,,,不、不是、没有,1,1,"(いいえ,いいえ)"
106,イーメール／Eメール,いーめーる／Eめーる,,名词,,,,,,,电子邮件,1,1,"(イーメール／Eメール,いーめーる／Eめーる)"
107,言う,いう,,动词,动1,,,,,他,说、讲、说话、吭声,1,1,"(言う,いう)"
108,家,いえ,五十音,名词,,,,,,,房子、家、家庭、门第、家世,2,1,"(家,いえ)"
109,以下,いか,,名词,,,,,,,（数字）以下、在～以下、以后,1,1,"(以下,いか)"
110,以外,いがい,,名词,,,,,,,以外、之外,1,1,"(以外,いがい)"
111,いかが,いかが,,副词,,,,,,,怎么样、怎么,1,1,"(いかが,いかが)"
112,生かす,いかす,,动词,动1,,,,,他,弄活、留活命、活用、有效地利用,1,1,"(生かす,いかす)"
113,息,いき,,名词,,,,,,,呼吸、气息、步调,1,1,"(息,いき)"
114,勢い,いきおい,,名词,,,,,,,势力、气势、气焰、趋势、形势,1,1,"(勢い,いきおい)"
115,生きる,いきる,,动词,动2,,,,,自,生存、生活、有生气、栩栩如生,1,1,"(生きる,いきる)"
116,行く,いく,L10,动词,动1,,,,,自,去、到～去、步行、走、走过、经过,1,1,"(行く,いく)"
117,いくつ,いくつ,L07,代词,,副词,,,,,几个、多少、几岁,1,1,"(いくつ,いくつ)"
118,いくら,いくら,L09,名词,,副词,,,,,多少、若干,1,1,"(いくら,いくら)"
119,池,いけ,五十音,名词,,,,,,,池塘、水池、砚池,1,1,"(池,いけ)"
120,いけない,いけない,,形容词,形1,,,,,,不可以、不行、不好、没希望、不对头,1,1,"(いけない,いけない)"
121,意見,いけん,Ｌ15,名词,,,,,,,意见、见解、劝告、提意见,1,1,"(意見,いけん)"
122,以後,いご,,名词,,,,,,,今后、以后、之后,1,1,"(以後,いご)"
123,意志,いし,,名词,,,,,,,意志、意向、志向,1,1,"(意志,いし)"
124,石,いし,五十音,名词,,,,,,,石头、宝石、钻石、棋子、坚硬、顽固,1,1,"(石,いし)"
125,意識,いしき,,名词,,动词,动3,,,他,意识、知觉、神志、认识、自觉,1,1,"(意識,いしき)"
126,いじめる,いじめる,,动词,动2,,,,,他,欺负、虐待、捉弄、糟蹋,1,1,"(いじめる,いじめる)"
127,医者,いしゃ,五十音,名词,,,,,,,医生、大夫,1,1,"(医者,いしゃ)"
128,以上,いじょう,,名词,,,,,,,（数量）以上、不少于、（程度）超出、更多,1,1,"(以上,いじょう)"
129,椅子,いす,五十音,名词,,,,,,,椅子、凳子,1,1,"(椅子,いす)"
130,以前,いぜん,,名词,,,,,,,以前、过去、从前、以往、古时,1,1,"(以前,いぜん)"
131,忙しい,いそがしい,,形容词,形1,,,,,,忙、忙碌、急急忙忙,1,1,"(忙しい,いそがしい)"
132,急ぐ,いそぐ,,动词,动1,,,,,自,快、急、加快、赶紧、着急,1,1,"(急ぐ,いそぐ)"
133,板,いた,,名词,,,,,,,木板、金属薄板、舞台、纯熟、老练,1,1,"(板,いた)"
134,痛い,いたい,,形容词,形1,,,,,,疼、疼痛、痛苦、难过、感到为难,1,1,"(痛い,いたい)"
135,いたずら,いたずら,,名词,,形容词,形2,,,,淘气、恶作剧、玩笑、摆弄、玩弄,1,1,"(いたずら,いたずら)"
136,いただく,いただく,,动词,动1,,,,,他,顶、戴、顶在头上、拥戴、领受、吃、抽,1,1,"(いただく,いただく)"
137,炒める,いためる,,动词,动2,,,,,他,（料理）炒、煎、爆,1,1,"(炒める,いためる)"
138,位置,いち,,名词,,,,,,,位置、场所、地位、立场、境遇,1,1,"(位置,いち)"
139,一番,いちばん,,名词,,副词,,,,,最初、第一、最好、最优秀,1,1,"(一番,いちばん)"
140,いつ,いつ,L06,代词,,副词,,,,,何时、什么时候、平时,1,1,"(いつ,いつ)"
141,一生懸命,いっしょうけんめい,,副词,,形容词,形2,,,,尽力、拼命地、努力地,1,1,"(一生懸命,いっしょうけんめい)"
142,一緒に,いっしょに,,副词,,,,,,,一同、一齐、一样、合在一起,1,1,"(一緒に,いっしょに)"
143,一層,いっそう,,副词,,,,,,,一层、越发、更加,1,1,"(一層,いっそう)"
144,一体,いったい,,副词,,,,,,,一体、同心、一座、一尊、根本、本来、总的说来、到底、究竟,1,1,"(一体,いったい)"
145,いつの間にか,いつの間にか,,副词,,,,,,,不知不觉、曾几何时,1,1,"(いつの間にか,いつの間にか)"
146,いっぱい,いっぱい,,副词,,,,,,,一碗、一杯、充满、全,1,1,"(いっぱい,いっぱい)"
147,一般,いっぱん,,名词,,副词,,,,,一般、普遍、普通、相似、相同,1,1,"(一般,いっぱん)"
148,一方,いっぽう,,名词,,,,,,,一个方向、一方面、一面、一方、一个劲地、另一方面,1,1,"(一方,いっぽう)"
149,いつまでも,いつまでも,,副词,,,,,,,到什么时候也、永远、始终,1,1,"(いつまでも,いつまでも)"
150,いつも,いつも,,副词,,,,,,,无论何时、经常、日常、平日、常、老,1,1,"(いつも,いつも)"
151,糸,いと,,名词,,,,,,,线、弦,1,1,"(糸,いと)"
152,いとこ,いとこ,,名词,,,,,,,堂兄弟（姐妹）、表兄弟（姐妹）,1,1,"(いとこ,いとこ)"
153,以内,いない,,名词,,,,,,,以内,1,1,"(以内,いない)"
154,田舎,いなか,L10,名词,,,,,,,乡下、农村、故乡,1,1,"(田舎,いなか)"
155,犬,いぬ,五十音,名词,,,,,,,狗、奸细、狗腿子,1,1,"(犬,いぬ)"
156,稲,いね,,名词,,,,,,,稻、稻子,1,1,"(稲,いね)"
157,命,いのち,,名词,,,,,,,生命、命、性命,1,1,"(命,いのち)"
158,祈る,いのる,,动词,动1,,,,,他,祈祷、祷告、祝愿、希望,1,1,"(祈る,いのる)"
159,イベント,いべんと,,名词,,,,,,,事件、事变、集会、活动、比赛,1,1,"(イベント,いべんと)"
160,今,いま,五十音,名词,,副词,,,,,现在、当前、今日、当代、立刻、马上,1,1,"(今,いま)"
161,今ごろ,いまごろ,,名词,,副词,,,,,现在、此时、如今,1,1,"(今ごろ,いまごろ)"
162,意味,いみ,,名词,,动词,动3,,,他,意思、意义、意图、动机、价值,1,1,"(意味,いみ)"
163,イメージ,いめーじ,,名词,,动词,动3,,,他,形象、心象、表象,1,1,"(イメージ,いめーじ)"
164,妹,いもうと,,名词,,,,,,,妹妹、小妹、堂妹、小姑、小姨,1,1,"(妹,いもうと)"
165,嫌,いや,,形容词,形2,,,,,,不愿意、不喜欢、讨厌、不愉快、不耐烦,1,1,"(嫌,いや)"
166,いよいよ,いよいよ,,副词,,,,,,,越发、真的、果真、到底、终于、最后时刻、紧要关头,1,1,"(いよいよ,いよいよ)"
167,意欲,いよく,,名词,,,,,,,意志、热情、积极性,1,1,"(意欲,いよく)"
168,依頼,いらい,,名词,,动词,动3,,,他,托、委托、托付、靠、依靠,1,1,"(依頼,いらい)"
169,入り口,いりぐち,,名词,,,,,,,门口、入口、进口、开始、起头、端绪,1,1,"(入り口,いりぐち)"
170,いる,いる,Ｌ13,动词,动2,,,,,自,有、在、居住、呆、始终停留、保持,1,1,"(いる,いる)"
171,要る,いる,,动词,动1,,,,,自,要、需要、必要,1,1,"(要る,いる)"
172,入れる,いれる,,动词,动2,,,,,他,进入、没入,1,1,"(入れる,いれる)"
173,色,いろ,,名词,,,,,,,颜色、彩色、色泽、光泽、肤色、脸色、气色,1,1,"(色,いろ)"
174,色々,いろいろ,,形容词,形2,副词,,,,,种种、各种各样、各式各样,1,1,"(色々,いろいろ)"
175,色んな,いろんな,,连体词,,,,,,,各种各样、形形色色,1,1,"(色んな,いろんな)"
176,岩,いわ,,名词,,,,,,,岩石,1,1,"(岩,いわ)"
177,祝う,いわう,,动词,动1,,,,,他,庆贺、祝福,1,1,"(祝う,いわう)"
178,印象,いんしょう,,名词,,,,,,,印象,1,1,"(印象,いんしょう)"
179,インク,いんく,,名词,,,,,,,墨水,1,1,"(インク,いんく)"
180,インスタントラーメン,いんすたんとらーめん,,名词,,,,,,,方便面,1,1,"(インスタントラーメン,いんすたんとらーめん)"
181,インターネット,いんたーねっと,,名词,,,,,,,因特网,1,1,"(インターネット,いんたーねっと)"
182,インタビュー,いんたびゅー,,名词,,动词,动3,,,自,采访,1,1,"(インタビュー,いんたびゅー)"
183,上,うえ,五十音,名词,,,,,,,上面,1,1,"(上,うえ)"
184,植える,うえる,,动词,动2,,,,,他,种植,1,1,"(植える,うえる)"
185,浮かぶ,うかぶ,,动词,动1,,,,,他,浮现、浮出、拜托困境,1,1,"(浮かぶ,うかぶ)"
186,浮かべる,うかべる,,动词,动2,,,,,他,使浮起、露出、想起,1,1,"(浮かべる,うかべる)"
187,受付,うけつけ,,名词,,,,,,,前台,1,1,"(受付,うけつけ)"
188,受ける,うける,Ｌ12,动词,动2,,,,,他,承蒙、遭受、答应,1,1,"(受ける,うける)"
189,受け取る,うけとる,,动词,动1,,,,,他,接、收、理解、领会,1,1,"(受け取る,うけとる)"
190,動かす,うごかす,,动词,动1,,,,,他,活动、摇动、移动、转动、感动,1,1,"(動かす,うごかす)"
191,動く,うごく,,动词,动1,,,,,自,摇动、行动、变动、调动,1,1,"(動く,うごく)"
192,牛,うし,五十音,名词,,,,,,,牛,1,1,"(牛,うし)"
193,失う,うしなう,,动词,动1,,,,,他,失去,1,1,"(失う,うしなう)"
194,後ろ,うしろ,Ｌ13,名词,,,,,,,后面,1,1,"(後ろ,うしろ)"
195,薄い,うすい,,形容词,形1,,,,,,薄的、淡的、浅的,1,1,"(薄い,うすい)"
196,嘘,うそ,,名词,,,,,,,谎言,1,1,"(嘘,うそ)"
197,歌,うた,,名词,,,,,,,歌曲,1,1,"(歌,うた)"
198,歌う,うたう,,动词,动1,,,,,他,唱歌,1,1,"(歌う,うたう)"
199,疑う,うたがう,,动词,动1,,,,,他,怀疑,1,1,"(疑う,うたがう)"
200,家,うち,Ｌ19,名词,,,,,,,家、房子、我们,2,1,"(家,うち)"
201,内,うち,,名词,,,,,,,里面,1,1,"(内,うち)"
202,打ち消し,うちけし,,名词,,,,,,,否定,1,1,"(打ち消し,うちけし)"
203,宇宙,うちゅう,,名词,,,,,,,宇宙,1,1,"(宇宙,うちゅう)"
204,打つ,うつ,,动词,动1,,,,,他,打、拍、击、使感动,1,1,"(打つ,うつ)"
205,美しい,うつくしい,,形容词,形1,,,,,,美丽的、漂亮的、好看的,1,1,"(美しい,うつくしい)"
206,移す,うつす,,动词,动1,,,,,他,挪、移动、转移,1,1,"(移す,うつす)"
207,写す,うつす,,动词,动1,,,,,他,抄、拍照,1,1,"(写す,うつす)"
208,映す,うつす,,动词,动1,,,,,他,放映、映、照,1,1,"(映す,うつす)"
209,移る,うつる,,动词,动1,,,,,自,搬、移、调动、转移,1,1,"(移る,うつる)"
210,写る,うつる,,动词,动1,,,,,自,映照、拍成,1,1,"(写る,うつる)"
211,腕,うで,,名词,,,,,,,手腕、本领,1,1,"(腕,うで)"
212,うどん,うどん,,名词,,,,,,,面条,1,1,"(うどん,うどん)"
213,頷く,うなずく,,动词,动1,,,,,自,点头,1,1,"(頷く,うなずく)"
214,奪う,うばう,,动词,动1,,,,,他,夺去、夺走,1,1,"(奪う,うばう)"
215,馬,うま,,名词,,,,,,,马,1,1,"(馬,うま)"
216,うまい,うまい,,形容词,形1,,,,,,美味的、可口的、巧妙地,1,1,"(うまい,うまい)"
217,生まれる,うまれる,,动词,动2,,,,,自,出生、诞生、生于,1,1,"(生まれる,うまれる)"
218,海,うみ,,名词,,,,,,,大海,1,1,"(海,うみ)"
219,海辺,うみべ,,名词,,,,,,,海边,1,1,"(海辺,うみべ)"
220,生む,うむ,,动词,动1,,,,,他,产生,1,1,"(生む,うむ)"
221,埋める,うめる,,动词,动2,,,,,他,埋、填满,1,1,"(埋める,うめる)"
222,裏,うら,,名词,,,,,,,里面、背面,1,1,"(裏,うら)"
223,うらやましい,うらやましい,,形容词,形1,,,,,,羡慕,1,1,"(うらやましい,うらやましい)"
224,売り場,うりば,,名词,,,,,,,卖场、柜台,1,1,"(売り場,うりば)"
225,売る,うる,,动词,动1,,,,,他,卖,1,1,"(売る,うる)"
226,得る,うる,,缀词(后),,,,,,,可能,2,1,"(得る,うる)"
227,うるさい,うるさい,,形容词,形1,,,,,,喧嚣、吵闹、烦,1,1,"(うるさい,うるさい)"
228,うれしい,うれしい,,形容词,形1,,,,,,高兴,1,1,"(うれしい,うれしい)"
229,上着,うわぎ,,名词,,,,,,,上衣,1,1,"(上着,うわぎ)"
230,運,うん,,名词,,,,,,,运、运气,1,1,"(運,うん)"
231,運転,うんてん,,名词,,动词,动3,,,他,驾驶,1,1,"(運転,うんてん)"
232,運転手,うんてんしゅ,,名词,,,,,,,驾驶员、司机,1,1,"(運転手,うんてんしゅ)"
233,運動,うんどう,Ｌ11,名词,,动词,动3,,,自,运动,1,1,"(運動,うんどう)"
234,運動場,うんどうじょう,L06,名词,,,,,,,操场、运动场,1,1,"(運動場,うんどうじょう)"
235,運命,うんめい,,名词,,,,,,,命运,1,1,"(運命,うんめい)"
236,絵,え,,名词,,,,,,,画,1,1,"(絵,え)"
237,エアコン,えあこん,,名词,,,,,,,空调,1,1,"(エアコン,えあこん)"
238,映画,えいが,,名词,,,,,,,电影,1,1,"(映画,えいが)"
239,映画館,えいがかん,,名词,,,,,,,电影院,1,1,"(映画館,えいがかん)"
240,影響,えいきょう,,名词,,动词,动3,,,自,影响,1,1,"(影響,えいきょう)"
241,英語,えいご,,名词,,,,,,,英语,1,1,"(英語,えいご)"
242,栄養,えいよう,,名词,,,,,,,营养,1,1,"(栄養,えいよう)"
243,ええ,ええ,,感叹词,,,,,,,是的,1,1,"(ええ,ええ)"
244,笑顔,えがお,,名词,,,,,,,笑脸,1,1,"(笑顔,えがお)"
245,駅,えき,L02,名词,,,,,,,车站,1,1,"(駅,えき)"
246,液体,えきたい,,名词,,,,,,,液体,1,1,"(液体,えきたい)"
247,エスカレーター,えすかれーたー,,名词,,,,,,,自动扶梯,1,1,"(エスカレーター,えすかれーたー)"
248,枝,えだ,,名词,,,,,,,树枝,1,1,"(枝,えだ)"
249,えっ,えっ,,感叹词,,,,,,,哎,1,1,"(えっ,えっ)"
250,エネルギー,えねるぎー,,名词,,,,,,,能量,1,1,"(エネルギー,えねるぎー)"
251,蝦,えび,,名词,,,,,,,虾,1,1,"(蝦,えび)"
252,絵本,えほん,,名词,,,,,,,小人书、连环画,1,1,"(絵本,えほん)"
253,偉い,えらい,,形容词,形1,,,,,,伟大、卓越、了不起,1,1,"(偉い,えらい)"
254,選ぶ,えらぶ,,动词,动1,,,,,他,选择,1,1,"(選ぶ,えらぶ)"
255,得る,える,,动词,动2,,,,,他,得到、领会,2,1,"(得る,える)"
256,エレベーター,えれべーたー,,名词,,,,,,,电梯,1,1,"(エレベーター,えれべーたー)"
257,円,えん,L09,名词,,量词,,,,,日币,1,1,"(円,えん)"
258,エンジン,えんじん,,名词,,,,,,,引擎、发动机,1,1,"(エンジン,えんじん)"
259,鉛筆,えんぴつ,五十音,名词,,,,,,,铅笔,1,1,"(鉛筆,えんぴつ)"
260,遠慮,えんりょ,,名词,,动词,动3,,,他,深思、客气,1,1,"(遠慮,えんりょ)"
261,お,お,,缀词(前),,,,,,,（接头词）美化词,1,1,"(お,お)"
262,おいしい,おいしい,,形容词,形1,,,,,,好吃、鲜美、合适、对口,1,1,"(おいしい,おいしい)"
263,負う,おう,,动词,动1,,,,,自他,背负、担负,1,1,"(負う,おう)"
264,追う,おう,,动词,动1,,,,,他,追赶、追求、追寻,1,1,"(追う,おう)"
265,応援,おうえん,,名词,,动词,动3,,,他,支持,1,1,"(応援,おうえん)"
266,往復,おうふく,,名词,,动词,动3,,,自,来往,1,1,"(往復,おうふく)"
267,大雨,おおあめ,,名词,,,,,,,大雨,1,1,"(大雨,おおあめ)"
268,多い,おおい,,形容词,形1,,,,,,多的,1,1,"(多い,おおい)"
269,大いに,おおいに,,副词,,,,,,,很、非常,1,1,"(大いに,おおいに)"
270,大きい,おおきい,,形容词,形1,,,,,,大的,1,1,"(大きい,おおきい)"
271,大きな,おおきな,,连体词,,,,,,,大的,1,1,"(大きな,おおきな)"
272,多く,おおく,,名词,,,,,,,很多,1,1,"(多く,おおく)"
273,大勢,おおぜい,,名词,,副词,,,,,很多（人）,1,1,"(大勢,おおぜい)"
274,大通り,おおどおり,,名词,,,,,,,大街,1,1,"(大通り,おおどおり)"
275,オートバイ,おーとばい,,名词,,,,,,,摩托车,1,1,"(オートバイ,おーとばい)"
276,オープン,おーぷん,,名词,,,,,,,开放的、公开的,1,1,"(オープン,おーぷん)"
277,大晦日,おおみそか,,名词,,,,,,,除夕,1,1,"(大晦日,おおみそか)"
278,お母さん,おかあさん,五十音,名词,,,,,,,母亲,1,1,"(お母さん,おかあさん)"
279,お蔭,おかげ,,名词,,,,,,,托福、承蒙关照、幸亏,1,1,"(お蔭,おかげ)"
280,お菓子,おかし,五十音,名词,,,,,,,点心、果子,1,1,"(お菓子,おかし)"
281,おかしい,おかしい,,形容词,形1,,,,,,可笑、滑稽、奇怪,1,1,"(おかしい,おかしい)"
282,おかず,おかず,,名词,,,,,,,菜、菜肴,1,1,"(おかず,おかず)"
